,Date,Vegetable,Wholesale Price,Retail Price,Shopping Mall Price,Units
482,2023-03-23,Snake Gourd,25,30,35,1kg
483,2023-03-23,Sorrel Leaves,16,19,22,1kg
484,2023-03-23,Spinach,15,18,21,1kg
485,2023-03-23,Sweet Potato,36,43,51,1kg
486,2023-03-22,Onion Big,18,22,26,1kg
487,2023-03-22,Onion Small,55,66,78,1kg
488,2023-03-22,Tomato,26,31,37,1kg
489,2023-03-22,Green Chilli,38,46,54,1kg
490,2023-03-22,Beetroot,29,35,41,1kg
491,2023-03-22,Potato,27,32,38,1kg
492,2023-03-22,Raw Banana (Plantain),11,13,15,1kg
493,2023-03-22,Amaranth Leaves,13,16,18,1kg
494,2023-03-22,Amla,70,85,100,1kg
495,2023-03-22,Ash gourd,25,30,35,1kg
496,2023-03-22,Baby Corn,56,67,79,1kg
497,2023-03-22,Banana Flower,19,23,27,1kg
498,2023-03-22,Capsicum,45,54,64,1kg
499,2023-03-22,Bitter Gourd,31,37,44,1kg
500,2023-03-22,Bottle Gourd,29,35,41,1kg
501,2023-03-22,Butter Beans,44,53,63,1kg
502,2023-03-22,Broad Beans,36,43,51,1kg
503,2023-03-22,Cabbage,11,13,15,1kg
504,2023-03-22,Carrot,31,37,44,1kg
505,2023-03-22,Cauliflower,24,29,34,1kg
506,2023-03-22,Cluster beans,43,52,61,1kg
507,2023-03-22,Coconut,25,30,35,1kg
508,2023-03-22,Colocasia Leaves,12,14,17,1kg
509,2023-03-22,Colocasia,24,29,34,1kg
510,2023-03-22,Coriander Leaves,5,6,7,1kg
511,2023-03-22,Corn,24,29,34,1kg
512,2023-03-22,Cucumber,26,31,37,1kg
513,2023-03-22,Curry Leaves,29,35,41,1kg
514,2023-03-22,Dill Leaves,14,17,20,1kg
515,2023-03-22,Drumsticks,90,109,128,1kg
516,2023-03-22,Brinjal,23,27,33,1kg
517,2023-03-22,Brinjal (Big),22,26,31,1kg
518,2023-03-22,Elephant Yam,25,30,35,1kg
519,2023-03-22,Fenugreek Leaves,9,10,13,1kg
520,2023-03-22,French Beans,37,45,52,1kg
521,2023-03-22,Garlic,50,61,71,1kg
522,2023-03-22,Ginger,44,53,63,1kg
523,2023-03-22,Onion Green,40,48,57,1kg
524,2023-03-22,Green Peas,78,94,111,1kg
525,2023-03-22,Ivy Gourd,22,26,31,1kg
526,2023-03-22,Lemon (Lime),54,65,77,1kg
527,2023-03-22,Mango Raw,82,99,116,1kg
528,2023-03-22,Mint Leaves,5,6,7,1kg
